Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Regulation
1556037_s_at,4.684552746680851,8.82643898798,-4.141886241299148,-20.67925422597565,1.2501443564561135e-43,1.3210268046433893e-41,Downregulated
204303_s_at,4.987699196265957,6.4706109760800015,-1.482911779814044,-18.200484314819466,1.2747860311201794e-43,1.3444243425456857e-41,Downregulated
200700_s_at,11.507261435212765,9.904655194800002,1.6026062404127632,18.74972477266207,1.3299670506077549e-43,1.3998749077101509e-41,Upregulated
222304_x_at,4.754914183382978,7.9173612015499994,-3.162447018167021,-19.87499971521319,1.4100074504153386e-43,1.4812238423445197e-41,Downregulated
218029_at,5.30420874888298,7.33478528365,-2.03057653476702,-18.84991564059962,1.413592447087333e-43,1.482095192184002e-41,Downregulated
236088_at,3.2325565428297867,5.805050145089999,-2.5724936022602125,-20.50556314830626,1.5781975566082213e-43,1.6482511413539765e-41,Downregulated
1552509_a_at,2.4703370906170217,6.94093799796,-4.470600907342979,-22.515826162656907,1.577661001619451e-43,1.6482511413539765e-41,Downregulated
228263_at,5.178177717053191,6.6308603795500005,-1.4526826624968097,-18.224864404077184,1.6146584953447421e-43,1.6830624385777578e-41,Downregulated
227133_at,8.308960491840427,6.51477638687,1.7941841049704266,20.29683427228623,1.7326066494964978e-43,1.8025141440970722e-41,Upregulated
209529_at,8.612949848893617,5.482243313720001,3.1307065351736165,18.544406388948243,1.7514378722993471e-43,1.8185875945848008e-41,Upregulated
228863_at,7.70324076282979,9.76205509097,-2.05881432814021,-18.786105275678043,1.7551375668440988e-43,1.8189177104099557e-41,Downregulated
206187_at,4.2468479637340435,5.641754239860002,-1.3949062761259583,-18.143621941400983,1.805113522504632e-43,1.8671122292583488e-41,Downregulated
225681_at,12.146528078734042,8.363658420620002,3.7828696581140395,18.145074111013994,1.8102854089492334e-43,1.8688677736227153e-41,Upregulated
209458_x_at,9.227556291797871,13.5863118078,-4.3587555160021285,-20.201935607401943,1.8785935046955096e-43,1.9356710774626948e-41,Downregulated
239349_at,4.641627140265958,8.64840883587,-4.006781695604043,-20.55101398184876,1.983918393938926e-43,2.040287471059256e-41,Downregulated
