Gene,Mean_Cancer,Mean_Normal,Log2FC,T_Statistic,P_Value,Adjusted_P_Value,Significant,Regulation,Gene Symbol,Gene Title,Display_Name
220293_at,3.29405368887234,2.21338773097,1.0806659579023399,6.036322822420819,3.1952085071402936e-08,1.2932311292425904e-07,True,Upregulated,CATSPERB,catsper channel auxiliary subunit beta,CATSPERB
233539_at,4.238806510308511,3.1582918064800007,1.0805147038285106,9.60605595464591,1.4911562530145537e-16,1.3873608411112401e-15,True,Upregulated,NAPEPLD,N-acyl phosphatidylethanolamine phospholipase D,NAPEPLD
208009_s_at,5.313290500617021,4.2335717956200005,1.0797187049970205,12.708279631725869,1.1761828623104007e-23,2.0573063880399094e-22,True,Upregulated,ARHGEF16,Rho guanine nucleotide exchange factor (GEF) 16,ARHGEF16
224695_at,9.094409155021276,8.01473487464,1.0796742803812762,17.617120779089046,3.769173778236023e-34,1.6658075664437367e-32,True,Upregulated,CNOT11,"CCR4-NOT transcription complex, subunit 11",CNOT11
1554466_a_at,6.258980882893618,5.1800181501600004,1.0789627327336175,9.67157267466686,2.4404237785497613e-17,2.441149960072112e-16,True,Upregulated,C16orf13,chromosome 16 open reading frame 13,C16orf13
228897_at,5.11178443437234,4.03282508737,1.07895934700234,7.432076842871316,9.463056648114144e-12,5.5066533038566196e-11,True,Upregulated,DERL3,derlin 3,DERL3
201613_s_at,8.941373432031915,7.863275879580001,1.078097552451914,14.682599383365297,6.150513875809786e-31,2.0295186461613813e-29,True,Upregulated,AP1G2,"adaptor-related protein complex 1, gamma 2 subunit",AP1G2
223811_s_at,5.423168402744682,4.3455250669700005,1.077643335774681,11.957459075069266,3.013835335188155e-22,4.691813237002318e-21,True,Upregulated,GET4,golgi to ER traffic protein 4 homolog (S. cerevisiae) /// Sad1 and UNC84 domain containing 1,GET4
206108_s_at,4.6016244108510636,3.5240540781600007,1.0775703326910628,4.6387810801869085,7.416451737137094e-06,2.3143494612070998e-05,True,Upregulated,SRSF6,serine/arginine-rich splicing factor 6,SRSF6
203343_at,10.580152302574469,9.5027440411,1.0774082614744689,8.966693390488675,9.674615750289403e-15,7.626540858054607e-14,True,Upregulated,UGDH,UDP-glucose 6-dehydrogenase,UGDH
1559862_at,4.664431971425531,3.5870307046799996,1.077401266745531,9.097714882282013,6.03141101719312e-15,4.8505603015961297e-14,True,Upregulated,COPA,"coatomer protein complex, subunit alpha",COPA
213913_s_at,6.327411358244681,5.2502765799099995,1.0771347783346812,5.968454473233471,1.94887981842004e-08,8.062025066415956e-08,True,Upregulated,TBC1D30,"TBC1 domain family, member 30",TBC1D30
206110_at,3.3751114289574473,2.29857194155,1.0765394874074472,7.265945983953836,9.841420440051431e-11,5.155650528767958e-10,True,Upregulated,HIST1H3A,"histone cluster 1, H3a /// histone cluster 1, H3b /// histone cluster 1, H3c /// histone cluster 1, H3d /// histone cluster 1, H3e /// histone cluster 1, H3f /// histone cluster 1, H3g /// histone cluster 1, H3h /// histone cluster 1, H3i /// histone cluster 1, H3j",HIST1H3A
235095_at,4.931447470042553,3.85497468632,1.076472783722553,9.362056299913615,2.6380311483413775e-16,2.40367852523614e-15,True,Upregulated,CCDC64B,coiled-coil domain containing 64B,CCDC64B
1568868_at,3.2970515608191486,2.22061745954,1.0764341012791485,6.31456753107401,9.145795304774351e-09,3.919959727967115e-08,True,Upregulated,CYP27C1,"cytochrome P450, family 27, subfamily C, polypeptide 1",CYP27C1
214902_x_at,8.735724515329789,7.65929606513,1.0764284501997885,7.665939360652004,1.828027062402357e-12,1.1393078050796427e-11,True,Upregulated,LPP,LIM domain containing preferred translocation partner in lipoma,LPP
216207_x_at,11.320999355276594,10.245216357750001,1.0757829975265931,4.082551772006225,7.008057650482479e-05,0.00019330019937889776,True,Upregulated,IGKC,immunoglobulin kappa constant,IGKC
203775_at,8.738182069638299,7.662542177269999,1.0756398923683,13.609508317034177,7.283099428851543e-27,1.6914023569957216e-25,True,Upregulated,SLC25A13,"solute carrier family 25 (aspartate/glutamate carrier), member 13",SLC25A13
239302_s_at,5.658877100138298,4.58353279285,1.0753443072882982,5.737012205519319,5.3028303810877065e-08,2.095873941269126e-07,True,Upregulated,LOC100506922,basic proline-rich protein-like,LOC100506922
206044_s_at,4.731648901468086,3.6563904696999994,1.0752584317680864,9.94476959681244,1.3516122442493572e-17,1.3855120291441953e-16,True,Upregulated,BRAF,"B-Raf proto-oncogene, serine/threonine kinase /// KIAA1549",BRAF
225638_at,10.12698347930851,9.052071080140001,1.0749123991685092,12.287239095809472,8.582955002071496e-24,1.5195616120520654e-22,True,Upregulated,COA6,cytochrome c oxidase assembly factor 6 homolog (S. cerevisiae),COA6
230361_at,3.3852381366808504,2.3112758131399995,1.0739623235408509,7.268050517777086,9.386543120617367e-11,4.931281581222169e-10,True,Upregulated,MROH1,maestro heat-like repeat family member 1,MROH1
232722_at,6.4462997738085095,5.3726164989899985,1.073683274818511,8.878784706930361,1.1092960716326363e-14,8.686067623938416e-14,True,Upregulated,RNASET2,ribonuclease T2,RNASET2
206150_at,8.386903453287234,7.313430980860001,1.073472472427233,5.8696769875555255,2.1804515316580003e-08,8.981296223139624e-08,True,Upregulated,CD27,CD27 molecule,CD27
